mgi_symbol	ensembl_gene_id	external_gene_name
Rdh13	ENSMUSG00000008435	Rdh13
Fut1	ENSMUSG00000008461	Fut1
Pou2f2	ENSMUSG00000008496	Pou2f2
Mgst1	ENSMUSG00000008540	Mgst1
Rps15a	ENSMUSG00000008683	Rps15a
Gprc5b	ENSMUSG00000008734	Gprc5b
Ceacam5	ENSMUSG00000008789	Ceacam5
Cldn13	ENSMUSG00000008843	Cldn13
Cd163	ENSMUSG00000008845	Cd163
Bcl2l13	ENSMUSG00000009112	Bcl2l13
Dqx1	ENSMUSG00000009145	Dqx1
Rarres2	ENSMUSG00000009281	Rarres2
Met	ENSMUSG00000009376	Met
Syn2	ENSMUSG00000009394	Syn2
Myod1	ENSMUSG00000009471	Myod1
Otog	ENSMUSG00000009487	Otog
Fxyd5	ENSMUSG00000009687	Fxyd5
Tmem86a	ENSMUSG00000010307	Tmem86a
Ebf3	ENSMUSG00000010476	Ebf3
Asz1	ENSMUSG00000010796	Asz1
Wnt2	ENSMUSG00000010797	Wnt2
Grid2ip	ENSMUSG00000010825	Grid2ip
Akt1s1	ENSMUSG00000011096	Akt1s1
Cfap161	ENSMUSG00000011154	Cfap161
Exoc3l2	ENSMUSG00000011263	Exoc3l2
Zfp296	ENSMUSG00000011267	Zfp296
Dmrtc2	ENSMUSG00000011349	Dmrtc2
Dhdh	ENSMUSG00000011382	Dhdh
Zfp790	ENSMUSG00000011427	Zfp790
Pinlyp	ENSMUSG00000011632	Pinlyp
Fuz	ENSMUSG00000011658	Fuz
Sptbn4	ENSMUSG00000011751	Sptbn4
Nanog	ENSMUSG00000012396	Nanog
Rpa3	ENSMUSG00000012483	Rpa3
Tnpo3	ENSMUSG00000012535	Tnpo3
Zfp715	ENSMUSG00000012640	Zfp715
Acp4	ENSMUSG00000012777	Acp4
Rps5	ENSMUSG00000012848	Rps5
2200002J24Rik	ENSMUSG00000013083	2200002J24Rik
Tmem190	ENSMUSG00000013091	Tmem190
4931406B18Rik	ENSMUSG00000013353	4931406B18Rik
Iglon5	ENSMUSG00000013367	Iglon5
4933402N03Rik	ENSMUSG00000013668	4933402N03Rik
Trnt1	ENSMUSG00000013736	Trnt1
Clip3	ENSMUSG00000013921	Clip3
Thap8	ENSMUSG00000013928	Thap8
Myl2	ENSMUSG00000013936	Myl2
Sval2	ENSMUSG00000014104	Sval2
Tsg101	ENSMUSG00000014402	Tsg101
Hps5	ENSMUSG00000014418	Hps5
Clec4f	ENSMUSG00000014542	Clec4f
Klra17	ENSMUSG00000014543	Klra17
Rbsn	ENSMUSG00000014550	Rbsn
Mrps25	ENSMUSG00000014551	Mrps25
Dguok	ENSMUSG00000014554	Dguok
Ceacam16	ENSMUSG00000014686	Ceacam16
Hoxa2	ENSMUSG00000014704	Hoxa2
Ankrd53	ENSMUSG00000014747	Ankrd53
Tex261	ENSMUSG00000014748	Tex261
Gata2	ENSMUSG00000015053	Gata2
Slc25a13	ENSMUSG00000015112	Slc25a13
Lrrk1	ENSMUSG00000015133	Lrrk1
Aldh1a3	ENSMUSG00000015134	Aldh1a3
Sirt2	ENSMUSG00000015149	Sirt2
Hnrnpl	ENSMUSG00000015165	Hnrnpl
Casd1	ENSMUSG00000015189	Casd1
Arnt2	ENSMUSG00000015709	Arnt2
Nlrp5	ENSMUSG00000015721	Nlrp5
Capza2	ENSMUSG00000015733	Capza2
Eps8	ENSMUSG00000015766	Eps8
Gtf2ird2	ENSMUSG00000015942	Gtf2ird2
Castor2	ENSMUSG00000015944	Castor2
Ncf1	ENSMUSG00000015950	Ncf1
Wnt11	ENSMUSG00000015957	Wnt11
Lrrc27	ENSMUSG00000015980	Lrrc27
Stk32c	ENSMUSG00000015981	Stk32c
Stard13	ENSMUSG00000016128	Stard13
Ppfibp1	ENSMUSG00000016487	Ppfibp1
Gtf3a	ENSMUSG00000016503	Gtf3a
Mtif3	ENSMUSG00000016510	Mtif3
Lnx2	ENSMUSG00000016520	Lnx2
Nlrp14	ENSMUSG00000016626	Nlrp14
Cadps2	ENSMUSG00000017978	Cadps2
Cyth3	ENSMUSG00000018001	Cyth3
Mafk	ENSMUSG00000018143	Mafk
Il12rb2	ENSMUSG00000018341	Il12rb2
Tcaf3	ENSMUSG00000018656	Tcaf3
Arrb1	ENSMUSG00000018909	Arrb1
Nars2	ENSMUSG00000018995	Nars2
Slc35b4	ENSMUSG00000018999	Slc35b4
Fis1	ENSMUSG00000019054	Fis1
Slc25a22	ENSMUSG00000019082	Slc25a22
Scrn1	ENSMUSG00000019124	Scrn1
Tmem160	ENSMUSG00000019158	Tmem160
Styxl1	ENSMUSG00000019178	Styxl1
Mdh2	ENSMUSG00000019179	Mdh2
Scn1b	ENSMUSG00000019194	Scn1b
Atp6v1e1	ENSMUSG00000019210	Atp6v1e1
Ppp1r12c	ENSMUSG00000019254	Ppp1r12c
Calm3	ENSMUSG00000019370	Calm3
Ffar3	ENSMUSG00000019429	Ffar3
Cops6	ENSMUSG00000019494	Cops6
Ap4m1	ENSMUSG00000019518	Ap4m1
Rcn3	ENSMUSG00000019539	Rcn3
Pdk4	ENSMUSG00000019577	Pdk4
Fmc1	ENSMUSG00000019689	Fmc1
Tmc4	ENSMUSG00000019734	Tmc4
Syne4	ENSMUSG00000019737	Syne4
Polr2i	ENSMUSG00000019738	Polr2i
Olfr299	ENSMUSG00000020168	Olfr299
Zfp607a	ENSMUSG00000020420	Zfp607a
Arf5	ENSMUSG00000020440	Arf5
Tshz3	ENSMUSG00000021217	Tshz3
Cep89	ENSMUSG00000023072	Cep89
Gtf2ird1	ENSMUSG00000023079	Gtf2ird1
Ndufa5	ENSMUSG00000023089	Ndufa5
Rfc2	ENSMUSG00000023104	Rfc2
Denr	ENSMUSG00000023106	Denr
Sympk	ENSMUSG00000023118	Sympk
Reg2	ENSMUSG00000023140	Reg2
Psg29	ENSMUSG00000023159	Psg29
Ceacam14	ENSMUSG00000023185	Ceacam14
P3h3	ENSMUSG00000023191	P3h3
Cd4	ENSMUSG00000023274	Cd4
Sva	ENSMUSG00000023289	Sva
Ache	ENSMUSG00000023328	Ache
Trip6	ENSMUSG00000023348	Trip6
Clec4n	ENSMUSG00000023349	Clec4n
Tmem176a	ENSMUSG00000023367	Tmem176a
Stk31	ENSMUSG00000023403	Stk31
Gnb3	ENSMUSG00000023439	Gnb3
Tpi1	ENSMUSG00000023456	Tpi1
Tulp2	ENSMUSG00000023467	Tulp2
Cdca3	ENSMUSG00000023505	Cdca3
Ogfod2	ENSMUSG00000023707	Ogfod2
Calcr	ENSMUSG00000023964	Calcr
Washc2	ENSMUSG00000024104	Washc2
Grm8	ENSMUSG00000024211	Grm8
3110040N11Rik	ENSMUSG00000025102	3110040N11Rik
Btbd1	ENSMUSG00000025103	Btbd1
Hdgfl3	ENSMUSG00000025104	Hdgfl3
Bnc1	ENSMUSG00000025105	Bnc1
Ints4	ENSMUSG00000025133	Ints4
Atp10a	ENSMUSG00000025324	Atp10a
Ube3a	ENSMUSG00000025326	Ube3a
Sbds	ENSMUSG00000025337	Sbds
Rabgef1	ENSMUSG00000025340	Rabgef1
Clns1a	ENSMUSG00000025439	Clns1a
Cd163l1	ENSMUSG00000025461	Cd163l1
Paox	ENSMUSG00000025464	Paox
Echs1	ENSMUSG00000025465	Echs1
Fuom	ENSMUSG00000025466	Fuom
Prap1	ENSMUSG00000025467	Prap1
Caly	ENSMUSG00000025468	Caly
Msx3	ENSMUSG00000025469	Msx3
Zfp511	ENSMUSG00000025470	Zfp511
Adam8	ENSMUSG00000025473	Adam8
Tubgcp2	ENSMUSG00000025474	Tubgcp2
Adgra1	ENSMUSG00000025475	Adgra1
Inpp5a	ENSMUSG00000025477	Inpp5a
Dpysl4	ENSMUSG00000025478	Dpysl4
Cyp2e1	ENSMUSG00000025479	Cyp2e1
Syce1	ENSMUSG00000025480	Syce1
Urah	ENSMUSG00000025481	Urah
Odf3	ENSMUSG00000025482	Odf3
Bet1l	ENSMUSG00000025484	Bet1l
Ric8a	ENSMUSG00000025485	Ric8a
Sirt3	ENSMUSG00000025486	Sirt3
Psmd13	ENSMUSG00000025487	Psmd13
Cox8b	ENSMUSG00000025488	Cox8b
Ifitm5	ENSMUSG00000025489	Ifitm5
Ifitm1	ENSMUSG00000025491	Ifitm1
Ifitm3	ENSMUSG00000025492	Ifitm3
Sigirr	ENSMUSG00000025494	Sigirr
Ptdss2	ENSMUSG00000025495	Ptdss2
Drd4	ENSMUSG00000025496	Drd4
Cdhr5	ENSMUSG00000025497	Cdhr5
Irf7	ENSMUSG00000025498	Irf7
Hras	ENSMUSG00000025499	Hras
Lmntd2	ENSMUSG00000025500	Lmntd2
Taldo1	ENSMUSG00000025503	Taldo1
Eps8l2	ENSMUSG00000025504	Eps8l2
Tmem80	ENSMUSG00000025505	Tmem80
Pidd1	ENSMUSG00000025507	Pidd1
Rplp2	ENSMUSG00000025508	Rplp2
Pnpla2	ENSMUSG00000025509	Pnpla2
Cd151	ENSMUSG00000025510	Cd151
Tspan4	ENSMUSG00000025511	Tspan4
Chid1	ENSMUSG00000025512	Chid1
Muc2	ENSMUSG00000025515	Muc2
Crcp	ENSMUSG00000025532	Crcp
Asl	ENSMUSG00000025533	Asl
Gusb	ENSMUSG00000025534	Gusb
Phkg1	ENSMUSG00000025537	Phkg1
Sumf2	ENSMUSG00000025538	Sumf2
Pde8a	ENSMUSG00000025584	Pde8a
Cpeb1	ENSMUSG00000025586	Cpeb1
Copg2	ENSMUSG00000025607	Copg2
Podxl	ENSMUSG00000025608	Podxl
Mkln1	ENSMUSG00000025609	Mkln1
Alox5	ENSMUSG00000025701	Alox5
Marchf8	ENSMUSG00000025702	Marchf8
Wdr73	ENSMUSG00000025722	Wdr73
Nmb	ENSMUSG00000025723	Nmb
Sec11a	ENSMUSG00000025724	Sec11a
Slc28a1	ENSMUSG00000025726	Slc28a1
Agbl1	ENSMUSG00000025754	Agbl1
St8sia2	ENSMUSG00000025789	St8sia2
Slco3a1	ENSMUSG00000025790	Slco3a1
Homer2	ENSMUSG00000025813	Homer2
Zfp282	ENSMUSG00000025821	Zfp282
Pdia4	ENSMUSG00000025823	Pdia4
Fam20c	ENSMUSG00000025854	Fam20c
Prkar1b	ENSMUSG00000025855	Prkar1b
Pdgfa	ENSMUSG00000025856	Pdgfa
Dnaaf5	ENSMUSG00000025857	Dnaaf5
Get4	ENSMUSG00000025858	Get4
Snca	ENSMUSG00000025889	Snca
Gtf2h3	ENSMUSG00000029387	Gtf2h3
Eif2b1	ENSMUSG00000029388	Eif2b1
Ddx55	ENSMUSG00000029389	Ddx55
Tmed2	ENSMUSG00000029390	Tmed2
Rilpl1	ENSMUSG00000029392	Rilpl1
Cdk2ap1	ENSMUSG00000029394	Cdk2ap1
Rilpl2	ENSMUSG00000029401	Rilpl2
Snrnp35	ENSMUSG00000029402	Snrnp35
Arl6ip4	ENSMUSG00000029404	Arl6ip4
Pitpnm2	ENSMUSG00000029406	Pitpnm2
Abcb9	ENSMUSG00000029408	Abcb9
Kntc1	ENSMUSG00000029414	Kntc1
Slc15a4	ENSMUSG00000029416	Slc15a4
Rimbp2	ENSMUSG00000029420	Rimbp2
Rsrc2	ENSMUSG00000029422	Rsrc2
Piwil1	ENSMUSG00000029423	Piwil1
Zcchc8	ENSMUSG00000029427	Zcchc8
Stx2	ENSMUSG00000029428	Stx2
Ran	ENSMUSG00000029430	Ran
B3gnt4	ENSMUSG00000029431	B3gnt4
Nipsnap2	ENSMUSG00000029432	Nipsnap2
Diablo	ENSMUSG00000029433	Diablo
Vps33a	ENSMUSG00000029434	Vps33a
Mmp17	ENSMUSG00000029436	Mmp17
Il31	ENSMUSG00000029437	Il31
Bcl7a	ENSMUSG00000029438	Bcl7a
Sfswap	ENSMUSG00000029439	Sfswap
Psmd9	ENSMUSG00000029440	Psmd9
Wdr66	ENSMUSG00000029442	Wdr66
Hpd	ENSMUSG00000029445	Hpd
Psph	ENSMUSG00000029446	Psph
Rhof	ENSMUSG00000029449	Rhof
Tmem116	ENSMUSG00000029452	Tmem116
Mapkapk5	ENSMUSG00000029454	Mapkapk5
Aldh2	ENSMUSG00000029455	Aldh2
Acad10	ENSMUSG00000029456	Acad10
Brap	ENSMUSG00000029458	Brap
Fam168a	ENSMUSG00000029461	Fam168a
Vps29	ENSMUSG00000029462	Vps29
Fam216a	ENSMUSG00000029463	Fam216a
Gpn3	ENSMUSG00000029464	Gpn3
Arpc3	ENSMUSG00000029465	Arpc3
Anapc7	ENSMUSG00000029466	Anapc7
Atp2a2	ENSMUSG00000029467	Atp2a2
P2rx7	ENSMUSG00000029468	P2rx7
Ift81	ENSMUSG00000029469	Ift81
P2rx4	ENSMUSG00000029470	P2rx4
Camkk2	ENSMUSG00000029471	Camkk2
Anapc5	ENSMUSG00000029472	Anapc5
Rnf34	ENSMUSG00000029474	Rnf34
Kdm2b	ENSMUSG00000029475	Kdm2b
Morn3	ENSMUSG00000029477	Morn3
Ncor2	ENSMUSG00000029478	Ncor2
Dhx37	ENSMUSG00000029480	Dhx37
Aacs	ENSMUSG00000029482	Aacs
Gpc2	ENSMUSG00000029510	Gpc2
Ankrd7	ENSMUSG00000029517	Ankrd7
1700123K08Rik	ENSMUSG00000029526	1700123K08Rik
St7	ENSMUSG00000029534	St7
Cyp2w1	ENSMUSG00000029541	Cyp2w1
Uncx	ENSMUSG00000029546	Uncx
Ints1	ENSMUSG00000029547	Ints1
Psmg3	ENSMUSG00000029551	Psmg3
Tes	ENSMUSG00000029552	Tes
Tfec	ENSMUSG00000029553	Tfec
Mad1l1	ENSMUSG00000029554	Mad1l1
Mrm2	ENSMUSG00000029557	Mrm2
Snx8	ENSMUSG00000029560	Snx8
Foxp2	ENSMUSG00000029563	Foxp2
Tmem168	ENSMUSG00000029569	Tmem168
Lfng	ENSMUSG00000029570	Lfng
Tmem106b	ENSMUSG00000029571	Tmem106b
Radil	ENSMUSG00000029576	Radil
Wipi2	ENSMUSG00000029578	Wipi2
Actb	ENSMUSG00000029580	Actb
Fscn1	ENSMUSG00000029581	Fscn1
Spdye4b	ENSMUSG00000029586	Spdye4b
Zfp12	ENSMUSG00000029587	Zfp12
Dtx1	ENSMUSG00000029603	Dtx1
Ankrd61	ENSMUSG00000029607	Ankrd61
Rph3a	ENSMUSG00000029608	Rph3a
Aimp2	ENSMUSG00000029610	Aimp2
Eif2ak1	ENSMUSG00000029613	Eif2ak1
Rpl6	ENSMUSG00000029614	Rpl6
Erp29	ENSMUSG00000029616	Erp29
Ccz1	ENSMUSG00000029617	Ccz1
Ocm	ENSMUSG00000029618	Ocm
1700018F24Rik	ENSMUSG00000029620	1700018F24Rik
Arpc1a	ENSMUSG00000029621	Arpc1a
Arpc1b	ENSMUSG00000029622	Arpc1b
Pdap1	ENSMUSG00000029623	Pdap1
Ptcd1	ENSMUSG00000029624	Ptcd1
Cpsf4	ENSMUSG00000029625	Cpsf4
Zkscan14	ENSMUSG00000029627	Zkscan14
Phf14	ENSMUSG00000029629	Phf14
Cyp3a25	ENSMUSG00000029630	Cyp3a25
Ndufa4	ENSMUSG00000029632	Ndufa4
Rnf6	ENSMUSG00000029634	Rnf6
Cdk8	ENSMUSG00000029635	Cdk8
Wasf3	ENSMUSG00000029636	Wasf3
Glcci1	ENSMUSG00000029638	Glcci1
Usp12	ENSMUSG00000029640	Usp12
Rasl11a	ENSMUSG00000029641	Rasl11a
Polr1d	ENSMUSG00000029642	Polr1d
Pdx1	ENSMUSG00000029644	Pdx1
Cdx2	ENSMUSG00000029646	Cdx2
Pan3	ENSMUSG00000029647	Pan3
Flt1	ENSMUSG00000029648	Flt1
Pomp	ENSMUSG00000029649	Pomp
Slc46a3	ENSMUSG00000029650	Slc46a3
Mtus2	ENSMUSG00000029651	Mtus2
N4bp2l2	ENSMUSG00000029655	N4bp2l2
Hsph1	ENSMUSG00000029657	Hsph1
Wdr95	ENSMUSG00000029658	Wdr95
Medag	ENSMUSG00000029659	Medag
Tex26	ENSMUSG00000029660	Tex26
Col1a2	ENSMUSG00000029661	Col1a2
Gngt1	ENSMUSG00000029663	Gngt1
Tfpi2	ENSMUSG00000029664	Tfpi2
Tspan12	ENSMUSG00000029669	Tspan12
Ing3	ENSMUSG00000029670	Ing3
Wnt16	ENSMUSG00000029671	Wnt16
Fam3c	ENSMUSG00000029672	Fam3c
Auts2	ENSMUSG00000029673	Auts2
Limk1	ENSMUSG00000029674	Limk1
Eln	ENSMUSG00000029675	Eln
Pot1a	ENSMUSG00000029676	Pot1a
Hyal5	ENSMUSG00000029678	Hyal5
Hyal6	ENSMUSG00000029679	Hyal6
Hyal4	ENSMUSG00000029680	Hyal4
Bcl7b	ENSMUSG00000029681	Bcl7b
Spam1	ENSMUSG00000029682	Spam1
Lmod2	ENSMUSG00000029683	Lmod2
Wasl	ENSMUSG00000029684	Wasl
Asb15	ENSMUSG00000029685	Asb15
Cul1	ENSMUSG00000029686	Cul1
Ezh2	ENSMUSG00000029687	Ezh2
Aass	ENSMUSG00000029695	Aass
Fezf1	ENSMUSG00000029697	Fezf1
Ssc4d	ENSMUSG00000029699	Ssc4d
Slc13a1	ENSMUSG00000029700	Slc13a1
Rbm28	ENSMUSG00000029701	Rbm28
Lrwd1	ENSMUSG00000029703	Lrwd1
Cux1	ENSMUSG00000029705	Cux1
Pax4	ENSMUSG00000029706	Pax4
Fscn3	ENSMUSG00000029707	Fscn3
Gcc1	ENSMUSG00000029708	Gcc1
Ephb4	ENSMUSG00000029710	Ephb4
Epo	ENSMUSG00000029711	Epo
Actl6b	ENSMUSG00000029712	Actl6b
Gnb2	ENSMUSG00000029713	Gnb2
Gigyf1	ENSMUSG00000029714	Gigyf1
Pop7	ENSMUSG00000029715	Pop7
Tfr2	ENSMUSG00000029716	Tfr2
Pcolce	ENSMUSG00000029718	Pcolce
Gm20605	ENSMUSG00000029720	Gm20605
Agfg2	ENSMUSG00000029722	Agfg2
Tsc22d4	ENSMUSG00000029723	Tsc22d4
Ppp1r35	ENSMUSG00000029725	Ppp1r35
Mepce	ENSMUSG00000029726	Mepce
Cyp3a13	ENSMUSG00000029727	Cyp3a13
Zkscan1	ENSMUSG00000029729	Zkscan1
Mcm7	ENSMUSG00000029730	Mcm7
Tpk1	ENSMUSG00000029735	Tpk1
Nobox	ENSMUSG00000029736	Nobox
Asns	ENSMUSG00000029752	Asns
Dlx6	ENSMUSG00000029754	Dlx6
Dlx5	ENSMUSG00000029755	Dlx5
Dync1i1	ENSMUSG00000029757	Dync1i1
Pon3	ENSMUSG00000029759	Pon3
Cald1	ENSMUSG00000029761	Cald1
Akr1b8	ENSMUSG00000029762	Akr1b8
Exoc4	ENSMUSG00000029763	Exoc4
Plxna4	ENSMUSG00000029765	Plxna4
1700012A03Rik	ENSMUSG00000029766	1700012A03Rik
Calu	ENSMUSG00000029767	Calu
Ccdc136	ENSMUSG00000029769	Ccdc136
Irf5	ENSMUSG00000029771	Irf5
Ahcyl2	ENSMUSG00000029772	Ahcyl2
Klhdc10	ENSMUSG00000029775	Klhdc10
Hibadh	ENSMUSG00000029776	Hibadh
Gars	ENSMUSG00000029777	Gars
Adcyap1r1	ENSMUSG00000029778	Adcyap1r1
Nt5c3	ENSMUSG00000029780	Nt5c3
Fkbp9	ENSMUSG00000029781	Fkbp9
Tmem209	ENSMUSG00000029782	Tmem209
Ssmem1	ENSMUSG00000029784	Ssmem1
Avl9	ENSMUSG00000029787	Avl9
Cpa5	ENSMUSG00000029788	Cpa5
Cep41	ENSMUSG00000029790	Cep41
Sspo	ENSMUSG00000029797	Sspo
Herc6	ENSMUSG00000029798	Herc6
Abcg2	ENSMUSG00000029802	Abcg2
Herc3	ENSMUSG00000029804	Herc3
Tmem176b	ENSMUSG00000029810	Tmem176b
Aoc1	ENSMUSG00000029811	Aoc1
Doxl1	ENSMUSG00000029813	Doxl1
Igf2bp3	ENSMUSG00000029814	Igf2bp3
Malsu1	ENSMUSG00000029815	Malsu1
Gpnmb	ENSMUSG00000029816	Gpnmb
Tra2a	ENSMUSG00000029817	Tra2a
Npy	ENSMUSG00000029819	Npy
Gsdme	ENSMUSG00000029821	Gsdme
Osbpl3	ENSMUSG00000029822	Osbpl3
Luc7l2	ENSMUSG00000029823	Luc7l2
Zc3hav1	ENSMUSG00000029826	Zc3hav1
4921507P07Rik	ENSMUSG00000029828	4921507P07Rik
Tmem213	ENSMUSG00000029829	Tmem213
Svopl	ENSMUSG00000029830	Svopl
Npvf	ENSMUSG00000029831	Npvf
Nfe2l3	ENSMUSG00000029832	Nfe2l3
Trim24	ENSMUSG00000029833	Trim24
Cbx3	ENSMUSG00000029836	Cbx3
1700111E14Rik	ENSMUSG00000029837	1700111E14Rik
Ptn	ENSMUSG00000029838	Ptn
Mtpn	ENSMUSG00000029840	Mtpn
Slc13a4	ENSMUSG00000029843	Slc13a4
Hoxa1	ENSMUSG00000029844	Hoxa1
Slc23a4	ENSMUSG00000029847	Slc23a4
Stra8	ENSMUSG00000029848	Stra8
Tcaf2	ENSMUSG00000029851	Tcaf2
Epha1	ENSMUSG00000029859	Epha1
Zyx	ENSMUSG00000029860	Zyx
Fam131b	ENSMUSG00000029861	Fam131b
Clcn1	ENSMUSG00000029862	Clcn1
Casp2	ENSMUSG00000029863	Casp2
Gstk1	ENSMUSG00000029864	Gstk1
Sval1	ENSMUSG00000029865	Sval1
Kel	ENSMUSG00000029866	Kel
Llcfc1	ENSMUSG00000029867	Llcfc1
Trpv6	ENSMUSG00000029868	Trpv6
Ephb6	ENSMUSG00000029869	Ephb6
2210010C04Rik	ENSMUSG00000029882	2210010C04Rik
1700074P13Rik	ENSMUSG00000029883	1700074P13Rik
Moxd2	ENSMUSG00000029885	Moxd2
Prss37	ENSMUSG00000029909	Prss37
Mad2l1	ENSMUSG00000029910	Mad2l1
Ssbp1	ENSMUSG00000029911	Ssbp1
Prdm5	ENSMUSG00000029913	Prdm5
Clec5a	ENSMUSG00000029915	Clec5a
Agk	ENSMUSG00000029916	Agk
Qrfprl	ENSMUSG00000029917	Qrfprl
Mrps33	ENSMUSG00000029918	Mrps33
Hpgds	ENSMUSG00000029919	Hpgds
Smarcad1	ENSMUSG00000029920	Smarcad1
Mkrn1	ENSMUSG00000029922	Mkrn1
Rab19	ENSMUSG00000029923	Rab19
Slc37a3	ENSMUSG00000029924	Slc37a3
Tbxas1	ENSMUSG00000029925	Tbxas1
Gfpt1	ENSMUSG00000029992	Gfpt1
Nfu1	ENSMUSG00000029993	Nfu1
Anxa4	ENSMUSG00000029994	Anxa4
Pcyox1	ENSMUSG00000029998	Pcyox1
Tgfa	ENSMUSG00000029999	Tgfa
Add2	ENSMUSG00000030000	Add2
Figla	ENSMUSG00000030001	Figla
Dusp11	ENSMUSG00000030002	Dusp11
Nat8	ENSMUSG00000030004	Nat8
Cct7	ENSMUSG00000030007	Cct7
Pradc1	ENSMUSG00000030008	Pradc1
Zfp638	ENSMUSG00000030016	Zfp638
Reg3g	ENSMUSG00000030017	Reg3g
Fbxl14	ENSMUSG00000030019	Fbxl14
Prickle2	ENSMUSG00000030020	Prickle2
Adamts9	ENSMUSG00000030022	Adamts9
Lrig1	ENSMUSG00000030029	Lrig1
1700003E16Rik	ENSMUSG00000030030	1700003E16Rik
Kbtbd8	ENSMUSG00000030031	Kbtbd8
Wdr54	ENSMUSG00000030032	Wdr54
Ino80b	ENSMUSG00000030034	Ino80b
Wbp1	ENSMUSG00000030035	Wbp1
Mogs	ENSMUSG00000030036	Mogs
Mrpl53	ENSMUSG00000030037	Mrpl53
M1ap	ENSMUSG00000030041	M1ap
Pole4	ENSMUSG00000030042	Pole4
Tacr1	ENSMUSG00000030043	Tacr1
Mrpl19	ENSMUSG00000030045	Mrpl19
Bmp10	ENSMUSG00000030046	Bmp10
Arhgap25	ENSMUSG00000030047	Arhgap25
Gkn3	ENSMUSG00000030048	Gkn3
Gkn2	ENSMUSG00000030049	Gkn2
Gkn1	ENSMUSG00000030050	Gkn1
Aplf	ENSMUSG00000030051	Aplf
Gp9	ENSMUSG00000030054	Gp9
Rab43	ENSMUSG00000030055	Rab43
Isy1	ENSMUSG00000030056	Isy1
Cnbp	ENSMUSG00000030057	Cnbp
Copg1	ENSMUSG00000030058	Copg1
Tmf1	ENSMUSG00000030059	Tmf1
Hmces	ENSMUSG00000030060	Hmces
Uba3	ENSMUSG00000030061	Uba3
Rpn1	ENSMUSG00000030062	Rpn1
Frmd4b	ENSMUSG00000030064	Frmd4b
Foxp1	ENSMUSG00000030067	Foxp1
Gm20696	ENSMUSG00000030068	Gm20696
Prok2	ENSMUSG00000030069	Prok2
Gxylt2	ENSMUSG00000030074	Gxylt2
Cntn3	ENSMUSG00000030075	Cntn3
Chl1	ENSMUSG00000030077	Chl1
Ruvbl1	ENSMUSG00000030079	Ruvbl1
Sec61a1	ENSMUSG00000030082	Sec61a1
Abtb1	ENSMUSG00000030083	Abtb1
Plxna1	ENSMUSG00000030084	Plxna1
Chchd6	ENSMUSG00000030086	Chchd6
Klf15	ENSMUSG00000030087	Klf15
Aldh1l1	ENSMUSG00000030088	Aldh1l1
Slc41a3	ENSMUSG00000030089	Slc41a3
Nup210	ENSMUSG00000030091	Nup210
Cntn6	ENSMUSG00000030092	Cntn6
Wnt7a	ENSMUSG00000030093	Wnt7a
Xpc	ENSMUSG00000030094	Xpc
Tmem43	ENSMUSG00000030095	Tmem43
Slc6a6	ENSMUSG00000030096	Slc6a6
Grip2	ENSMUSG00000030098	Grip2
Sumf1	ENSMUSG00000030101	Sumf1
Itpr1	ENSMUSG00000030102	Itpr1
Bhlhe40	ENSMUSG00000030103	Bhlhe40
Edem1	ENSMUSG00000030104	Edem1
Arl8b	ENSMUSG00000030105	Arl8b
Usp18	ENSMUSG00000030107	Usp18
Slc6a13	ENSMUSG00000030108	Slc6a13
Slc6a12	ENSMUSG00000030109	Slc6a12
Ret	ENSMUSG00000030110	Ret
A2m	ENSMUSG00000030111	A2m
Klrg1	ENSMUSG00000030114	Klrg1
Mfap5	ENSMUSG00000030116	Mfap5
Gdf3	ENSMUSG00000030117	Gdf3
Mlf2	ENSMUSG00000030120	Mlf2
Ptms	ENSMUSG00000030122	Ptms
Plxnd1	ENSMUSG00000030123	Plxnd1
Lag3	ENSMUSG00000030124	Lag3
Lrrc23	ENSMUSG00000030125	Lrrc23
Tmcc1	ENSMUSG00000030126	Tmcc1
Cops7a	ENSMUSG00000030127	Cops7a
Mug2	ENSMUSG00000030131	Mug2
Rasgef1a	ENSMUSG00000030134	Rasgef1a
Tuba8	ENSMUSG00000030137	Tuba8
Bms1	ENSMUSG00000030138	Bms1
Clec4e	ENSMUSG00000030142	Clec4e
Gm8882	ENSMUSG00000030143	Gm8882
Clec4d	ENSMUSG00000030144	Clec4d
Zfp248	ENSMUSG00000030145	Zfp248
Clec4b1	ENSMUSG00000030147	Clec4b1
Clec4a2	ENSMUSG00000030148	Clec4a2
Klrk1	ENSMUSG00000030149	Klrk1
Klrb1f	ENSMUSG00000030154	Klrb1f
Clec2e	ENSMUSG00000030155	Clec2e
Cd69	ENSMUSG00000030156	Cd69
Clec2d	ENSMUSG00000030157	Clec2d
Clec12b	ENSMUSG00000030158	Clec12b
Clec1b	ENSMUSG00000030159	Clec1b
Tmem52b	ENSMUSG00000030160	Tmem52b
Gabarapl1	ENSMUSG00000030161	Gabarapl1
Olr1	ENSMUSG00000030162	Olr1
Klrd1	ENSMUSG00000030165	Klrd1
Rad52	ENSMUSG00000030166	Rad52
Klrc1	ENSMUSG00000030167	Klrc1
Adipor2	ENSMUSG00000030168	Adipor2
Wnt5b	ENSMUSG00000030170	Wnt5b
Erc1	ENSMUSG00000030172	Erc1
Klra5	ENSMUSG00000030173	Klra5
